S_No,Location_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,DISTRICT CENTER JANAKPURI,0,4,4
2,CRPF CAMP KESHOPUR,0,4,4
3,MUKHARBA CHOWK,12,3,15
4,BURARI CHOWK,11,3,14
5,BHALSWA CHOWK,11,3,14
6,SHASTRI NAGAR METRO STATION,8,3,11
7,PUNJABI BAGH CHOWK,8,3,11
8,MUKHAND PUR CHOWK,8,3,11
9,SHANI MANDIR,7,3,10
10,SARITA VIHAR METRO STATION,6,3,9
11,JANAKPURI EAST,4,3,7
12,CVD DEPOT NANGAL VILLAGE,2,3,5
13,JAHANGIRPURI BUS STAND,1,3,4
14,KALINDI KUNJ,11,2,13
15,SHANTI VAN,10,0,10
