Circle_Name,Victim_Type,Fatal_Accidents
MANDAWALI,PEDESTRIAN,6
MANDAWALI,SCOOTERIST/M.CYCLIST,5
MANGOL PURI,PEDESTRIAN,29
MANGOL PURI,SCOOTERIST/M.CYCLIST,20
MANGOL PURI,SCOOTERIST/MC SELF,5
MAYAPURI,PEDESTRIAN,
MAYAPURI,SCOOTERIST/MC,
MEHRAULI,SCOOTERIST/M.CYCLIST,16
MEHRAULI,PEDESTRIAN,8
MODEL TOWN,PEDESTRIAN,20
MODEL TOWN,SCOOTERIST/M.CYCLIST,
MODEL TOWN,CYCLIST,
NAJAF GARH,PEDESTRIAN,17
NAJAF GARH,SCOOTERIST/M.CYCLIST,29
NAJAF GARH,CYCLIST,
NANGLOI,PEDESTRIAN,
NANGLOI,SCOOTERIST/M.CYCLIST,12
BURARI,PEDESTRIAN,49
BURARI,SCOOTERIST/M.CYCLIST,
BURARI,SELF,
BURARI,SCOOTERIST/MC,10
PUNJABI BAGH,PEDESTRIAN,
PUNJABI BAGH,SCOOTERIST/M.CYCLIST,
PAHARGANJ,SCOOTERIST/M.CYCLIST,
PAHARGANJ,SELF,
PATEL NAGAR,PEDESTRIAN,15
PATEL NAGAR,SCOOTERIST/M.CYCLIST,5
PATEL NAGAR,SELF,
PARLIAMENT STREET,PEDESTRIAN,
PARLIAMENT STREET,SCOOTER/MC,
PARLIAMENT STREET,CAR,
PARLIAMENT HOUSE,PEDESTRIAN,
PARLIAMENT HOUSE,CAR,
PALAM AIRPORT,SCOOTERIST/M.CYCLIST,
PALAM AIRPORT,PEDESTRIAN,
RAJOURI GARDEN,PEDESTRIAN,
RAJOURI GARDEN,SCOOTERIST/M.CYCLIST,
RAJOURI GARDEN,SELF,
ROHINI,SCOOTERIST/M.CYCLIST,22
ROHINI,PEDESTRIAN,
ROHINI,SELF,
R.K. PURAM,PEDESTRIAN,12
R.K. PURAM,SCOOTERIST/M.CYCLIST,6
R.K. PURAM,SELF,1
SADAR BAZAR,PEDESTRIAN,11
SADAR BAZAR,SCOOTERIST/M.CYCLIST,4
SHAHDARA,PEDESTRIAN,17
SHAHDARA,SCOOTERIST/M.CYCLIST,12
SHAHDARA,SELF,2
KHAZOORI,PEDESTRIAN,12
KHAZOORI,SCOOTERIST/M.CYCLIST,12
KHAZOORI,CYCLIST,
SABZI MANDI,PEDESTRIAN,
SABZI MANDI,SCOOTERIST/M.CYCLIST,
SEEMA PURI,PEDESTRIAN,16
SEEMA PURI,SCOOTERIST/M.CYCLIST,16
SEEMA PURI,SELF,2
SARITA VIHAR,SCOOTERIST/M.CYCLIST,13
SARITA VIHAR,PEDESTRIAN,12
SARITA VIHAR,SELF,3
SAKET,PEDESTRIAN,
SAKET,SC/M.CYCLIST,
SANGAM VIHAR,PEDESTRIAN,
SANGAM VIHAR,SCOOTERIST/M.CYCLIST,
SANGAM VIHAR,CYCLIST,
SUKHDEV VIHAR,PEDESTRIAN,
SUKHDEV VIHAR,SCOOTERIST/M.CYCLIST,
SUKHDEV VIHAR,SELF,
TILAK MARG,SCOOTERIST/M.CYCLIST,
TILAK MARG,PEDESTRIAN,
TILAK MARG,CAR,
TILAK NAGAR,SCOOTERIST/M.CYCLIST,20
TILAK NAGAR,PEDESTRIAN,18
TILAK NAGAR,SELF,1
VIVEK VIHAR,PEDESTRIAN,17
VIVEK VIHAR,SCOOTERIST/M.CYCLIST,
VIVEK VIHAR,CYCLIST,
VASANT VIHAR,PEDESTRIAN,
VASANT VIHAR,SCOOTERIST/M.CYCLIST,
