Circle_Name,Time_Slot,Fatal_Accidents
MANDAWALI,0600-0700,
MANDAWALI,0800-0900,
MANDAWALI,0200-0300,
MANDAWALI,0700-0800,
MANDAWALI,1300-1400,
MANGOL PURI,2200-2300,
MANGOL PURI,1200-1300,
MANGOL PURI,0000-0100,
MANGOL PURI,1700-1800,
MANGOL PURI,1800-1900,
MANGOL PURI,2100-2200,
MAYAPURI,2200-2300,
MAYAPURI,2000-2100,
MAYAPURI,1900-2000,
MAYAPURI,1000-1100,
MEHRAULI,1200-1300,
MEHRAULI,1400-1500,
MEHRAULI,2100-2200,
MEHRAULI,2200-2300,
MEHRAULI,2300-2400,
MEHRAULI,0600-0700,
MODEL TOWN,2300-2400,
MODEL TOWN,0600-0700,
MODEL TOWN,0200-0300,
MODEL TOWN,0900-1000,
MODEL TOWN,1700-1800,
MODEL TOWN,0700-0800,
NAJAF GARH,2000-2100,
NAJAF GARH,1300-1400,
NAJAF GARH,2300-2400,
NAJAF GARH,2200-2300,
NAJAF GARH,0900-1000,
NAJAF GARH,0800-0900,
NAJAF GARH,2100-2200,
NANGLOI,2100-2200,
NANGLOI,1100-1200,
NANGLOI,0000-0100,
NANGLOI,0200-0300,
NANGLOI,0100-0200,
NANGLOI,0800-0900,
NANGLOI,2200-2300,
BURARI,2100-2200,
BURARI,2200-2300,
BURARI,2000-2100,
BURARI,2300-2400,
BURARI,0200-0300,
PUNJABI BAGH,2200-2300,6
PUNJABI BAGH,1000-1100,
PUNJABI BAGH,0100-0200,
PUNJABI BAGH,2000-2100,
PUNJABI BAGH,2100-2200,
PUNJABI BAGH,1300-1400,
PUNJABI BAGH,0800-0900,
PUNJABI BAGH,0600-0700,
PUNJABI BAGH,0500-0600,
PAHARGANJ,2300-2400,
PAHARGANJ,2200-2300,
PAHARGANJ,1100-1200,
PATEL NAGAR,1200-1300,
PATEL NAGAR,1900-2000,
PATEL NAGAR,2200-2300,
PATEL NAGAR,0600-0700,
PARLIAMENT STREET,1400-1500,
PARLIAMENT STREET,1700-1800,
PARLIAMENT STREET,2300-2400,
PARLIAMENT STREET,0300-0400,
PARLIAMENT HOUSE,0800-0900,
PARLIAMENT HOUSE,2000-2100,
PALAM AIRPORT,0000-0100,
PALAM AIRPORT,0400-0500,
RAJOURI GARDEN,0200-0300,
RAJOURI GARDEN,0500-0600,
RAJOURI GARDEN,0000-0100,
RAJOURI GARDEN,2100-2200,
RAJOURI GARDEN,0300-0400,
RAJOURI GARDEN,0600-0700,
ROHINI,2200-2300,6
ROHINI,2100-2100,
ROHINI,0800-0900,
ROHINI,0900-1000,
ROHINI,1900-2000,
R.K. PURAM,2300-2400,
R.K. PURAM,0800-0900,
R.K. PURAM,1900-2000,
SADAR BAZAR,0700-0800,
SADAR BAZAR,1600-1700,
SADAR BAZAR,0500-0600,
SHAHDARA,2300-2400,6
SHAHDARA,0500-0600,4
SHAHDARA,0700-0800,3
SHAHDARA,0900-1000,2
SHAHDARA,1100-1200,2
KHAZOORI,0600-0700,
KHAZOORI,0000-0100,
KHAZOORI,1400-1500,
SABZI MANDI,2300-2400,
SABZI MANDI,2100-2200,
SABZI MANDI,0400-0500,
SEEMA PURI,0100-0200,
SEEMA PURI,0000-0100,
SEEMA PURI,0200-0300,
SEEMA PURI,0300-0400,
SEEMA PURI,0500-0600,
SARITA VIHAR,0500-0600,
SARITA VIHAR,2000-2100,
SARITA VIHAR,2100-2200,
SARITA VIHAR,2200-2300,
SARITA VIHAR,2300-2400,
SAKET,0100-0200,
SAKET,0200-0300,
SAKET,0700-0800,
SANGAM VIHAR,0500-0600,2
SANGAM VIHAR,1500-1600,2
SANGAM VIHAR,1700-1800,2
SANGAM VIHAR,1900-2000,2
SUKHDEV VIHAR,0000-0100,
SUKHDEV VIHAR,1400-1500,
SUKHDEV VIHAR,1500-1600,
TILAK MARG,2200-2300,
TILAK MARG,2300-2400,
TILAK NAGAR,2300-2400,
TILAK NAGAR,2000-2100,
TILAK NAGAR,1900-2000,
TILAK NAGAR,1200-1300,
TILAK NAGAR,2200-2300,
TILAK NAGAR,0900-1000,
VIVEK VIHAR,2300-2400,4
VIVEK VIHAR,2200-2300,
VIVEK VIHAR,1700-1800,
VIVEK VIHAR,2100-2200,
VIVEK VIHAR,1400-1500,
VIVEK VIHAR,1000-1100,3
VIVEK VIHAR,0800-0900,
VASANT VIHAR,2000-2100,
VASANT VIHAR,0200-0300,
VASANT VIHAR,0800-0900,
VASANT VIHAR,0500-0600,
VASANT VIHAR,0600-0700,
VASANT VIHAR,2300-2400,
