Zone_Name,Pedestrian,Two_Wheeler,Cyclist,HTV,Hit_And_Run,Daytime,Nighttime,Total_Categories
ISBT KASHMIRI GATE,1,0,1,0,1,1,1,5
KASHMIRI GATE CHOWK,1,0,0,0,1,1,1,4
BHALSWA CHOWK,1,0,1,0,1,1,1,5
MUKUNDPUR CHOWK,0,1,0,1,1,1,1,5
LIBASPUR BUS STAND,1,0,1,0,1,1,1,5
GHEWRA MORE,1,0,0,0,1,1,1,4
5TH PUSTA USMAN PUR,1,0,0,0,1,1,1,4
MUKARBA CHOWK,1,1,1,0,1,1,1,6
MAHIPALPUR FLYOVER,1,0,0,0,1,0,1,3
RAJDHANI PARK,1,1,0,0,1,1,1,5
PREM BARI PULL,1,0,0,0,1,1,1,4
WAZIRABAD,0,1,0,0,1,1,0,3
NIRANKARI COLONY,0,1,0,0,1,1,0,3
ANAND VIHAR ISBT,0,1,0,0,1,1,0,3
HANUMAN MANDIR,1,0,0,0,1,0,1,3
INDIRA KALYAN VIHAR RED LIGHT,1,0,1,0,1,1,1,5
ITO/IP FLYOVER,0,1,0,0,1,0,1,3
SHASTRI PARK/IT PARK,0,1,1,0,1,1,1,5
PUNJABI BAGH CHOWK,0,0,0,0,1,0,1,2
PEERAGARHI CHOWK,0,0,0,0,0,0,1,1
SWAROOP NAGAR,0,0,1,0,1,0,1,3
METRO STATION MADIPUR,1,0,0,0,1,0,1,3
BURARI CHOWK,0,1,0,0,1,1,0,3
NARAINA,0,1,0,0,1,0,1,3
MAJLIS PARK METRO STATION,0,0,1,0,0,0,1,2
SHAKARPUR CHUNGI,1,0,0,0,1,0,1,3
SIRASPUR,1,0,0,0,1,1,0,3
MUNDKA METRO STATION,1,0,0,0,1,0,1,3
SARITA VIHAR METRO STATION,1,0,0,0,0,0,1,2
TIKRI VILLAGE,1,0,1,0,0,1,0,3
AZAD PUR CHOWK,1,0,0,0,1,0,1,3
JASOLA VIHAR,0,0,1,0,0,1,0,2
MOOL CHAND,0,1,0,0,1,0,1,3
JAHANGIR PURI METRO STATION,0,0,1,0,1,0,0,2
AKSHARDHAM MANDIR,1,0,0,0,0,0,1,2
RAJOURI GARDEN,0,0,0,0,1,0,1,2
MAYA PURI CHOWK,0,0,0,0,1,0,1,2
RAJGHAT,1,0,0,0,1,0,1,3
NIGAM BODH GHAT,0,0,0,0,1,0,1,2
DEEPALI CHOWK,0,1,0,0,1,0,1,3
KHAJOORI CHOWK,1,0,0,0,1,0,0,2
SEELAMPUR T POINT,0,0,0,0,1,1,1,3
GOKALPURI,0,1,0,0,0,1,0,2
KALINDI KUNJ,0,0,1,0,0,0,0,1
KAKROLA DWARKA MORE,0,0,1,0,0,0,0,1
JANAK PURI EAST,0,0,1,0,1,0,0,2
CHIRAG DELHI FLYOVER,0,0,0,0,1,0,1,2
ASHRAM CHOWK,0,0,0,0,1,0,1,2
HYAAT HOTEL,0,0,0,0,1,0,1,2
AIIMS,0,0,0,0,1,0,0,1
SANJAY T-POINT,0,0,1,0,1,0,0,2
