S_No,Road_Name,Fatal_2021,Fatal_2022,Fatal_2023,Simple_2021,Simple_2022,Simple_2023,NonInjury_2021,NonInjury_2022,NonInjury_2023,Total_2021,Total_2022,Total_2023
1,Africa Avenue,0,0,0,5,7,8,0,0,2,5,7,10
2,Alipur Road,0,1,2,2,10,7,0,0,0,2,11,9
3,Anand Mai Marg,5,8,6,15,32,13,2,2,2,22,40,21
4,Aruna Asaf Ali Marg,1,0,2,7,6,5,0,0,0,8,6,7
5,Asaf Ali Road,1,1,0,3,1,2,0,0,0,4,2,2
6,August Kranti Marg,0,0,0,4,2,2,0,0,0,4,2,2
7,Aurobindo Marg,3,6,2,15,17,23,0,1,0,18,24,25
8,Bahadur Shah Zr Marg,1,1,0,7,6,4,0,0,0,8,7,4
9,Bawana Road,19,28,21,28,50,56,0,1,2,47,79,79
10,Bhati Mine Marg,0,0,6,1,0,11,0,0,0,1,0,17
11,Boulevard Road,2,1,2,14,8,11,0,0,0,16,9,13
12,Captain Gaur Marg,1,1,6,3,3,9,0,0,0,4,4,15
13,Chhatarpur Road,1,0,1,0,6,8,0,0,0,1,6,9
14,Dhansa Road,8,8,9,8,7,10,0,2,0,16,17,19
15,Desh Bandu Gupta Road,3,10,3,7,16,10,1,0,0,15,26,13
16,Dr. Amr. Road,2,0,0,2,0,3,0,0,0,4,0,3
17,DSIIDC Narela Road,0,1,2,1,7,7,0,0,0,1,8,9
18,Dwarka Road,0,0,0,0,0,0,0,0,0,0,0,0
19,Faiz Road,0,1,0,1,1,0,0,0,0,1,2,0
20,Ghuman Hera Marg,2,1,1,2,0,1,0,0,0,4,1,2
21,Grand Trunk Road,21,25,25,57,71,75,0,2,3,78,98,103
22,GTK Road,44,65,74,90,117,126,0,1,5,134,183,205
23,Gurgaon Road,0,0,0,1,0,0,0,0,0,1,0,0
24,ISBT Road,0,0,1,0,0,0,0,0,1,0,0,0
25,Jawahar Lal Nehru Road,1,6,2,14,11,12,0,0,0,15,17,14
26,Jharoda Road,7,7,2,1,13,10,0,0,0,8,20,12
27,Kanjhawala Road,6,10,16,25,20,38,0,0,1,31,30,55
28,Lala Lajpat Rai Path,2,5,1,24,21,15,0,1,3,26,27,19
29,Loni Road,5,2,3,11,14,10,0,0,0,5,11,14
30,Mahipal Pur Road,3,3,6,17,15,13,0,1,0,14,19,19
31,Mandoli Road,0,1,1,5,5,4,0,0,0,5,6,5
32,Mathura Road,14,27,23,66,86,65,0,4,5,80,117,93
33,Mayapuri Marg,4,6,1,4,1,5,1,0,0,9,17,6
34,Mehrauli Badarpur Road,18,20,14,54,24,52,0,1,0,72,45,66
35,Mehrauli Gurgaon Road,11,9,7,12,24,23,0,0,3,23,33,66
36,Najafgarh Road,28,24,39,78,94,121,1,2,7,107,120,161
37,Najafgarh Nangloi Road,10,4,6,28,25,22,0,0,0,38,29,28
38,Nangloi Sultanpuri Road,0,0,0,0,0,1,0,0,0,0,0,1
39,Naraina Road,0,1,0,3,3,3,0,0,0,3,4,3
40,Narela Road,9,9,10,12,20,22,0,0,0,21,29,32
41,Nelson Mandela Marg,0,2,0,6,2,9,0,0,0,6,4,9
42,New Rohtak Road,11,5,5,12,20,27,0,0,1,23,25,33
43,NH-24,15,25,16,32,68,35,0,0,2,47,93,53
44,NH-8,26,29,18,56,55,73,3,0,1,85,84,92
45,Noida DND Road,4,2,2,6,8,4,0,0,0,10,10,6
46,Old Gurgaon Road,2,4,2,3,5,3,0,0,0,5,9,5
47,Old Rohtak Road,2,4,0,6,3,3,0,0,0,8,7,3
48,Olof Palme Marg,0,0,0,0,0,1,0,1,0,0,1,1
49,Outer Circle C. Place,0,4,0,0,4,5,0,0,0,0,8,5
50,Outer Ring Road,95,102,106,182,239,214,3,8,6,280,349,326
51,Palam Dabri Road,0,2,0,1,14,3,0,0,0,1,16,3
52,Palla Road,0,5,1,3,8,2,0,0,0,0,13,3
53,Panchkuian Road,3,2,3,10,2,2,0,1,0,13,5,5
54,Pankha Road,9,9,11,15,19,24,0,0,1,24,28,36
55,Patel Road,4,7,12,23,23,30,0,0,0,27,30,42
56,Patpar Ganj Road,1,3,4,8,6,11,0,1,1,9,10,16
57,Press Enclave Marg,2,4,1,6,5,6,0,0,0,8,9,7
58,Prithvi Raj Road,1,1,0,4,9,1,0,0,0,5,10,1
59,Qutab Road,2,1,0,1,2,1,0,0,0,3,3,1
60,Raja Ram Marg,2,4,3,7,5,2,1,0,0,10,9,5
61,Rama Road,1,3,2,3,7,5,0,0,0,4,10,7
62,Rani Jhansi Road,1,0,9,12,5,14,0,0,0,13,5,23
63,Rao Tula Ram Marg,2,3,3,6,10,13,1,2,1,9,15,17
64,Ravi Das Marg,1,1,1,7,18,8,0,0,0,8,19,9
65,Ring Road,85,119,122,192,223,261,3,7,13,280,349,396
66,Rithala Road,0,0,0,1,2,3,0,0,0,1,2,3
67,Road No 13,0,0,0,2,0,0,0,0,0,2,0,0
68,Road No 37,2,1,1,1,3,2,0,0,0,3,4,3
69,Road No 40,1,2,3,4,14,2,0,0,0,5,16,5
70,Road No 41,6,2,2,10,5,4,0,0,1,16,7,7
71,Road No 56,9,15,18,14,23,28,0,0,1,23,38,47
72,Road No 57,4,6,5,17,20,30,1,1,1,16,27,36
73,Road No 66,5,0,1,9,11,5,0,0,0,14,11,6
74,Rohtak Road,46,63,56,89,126,107,1,2,3,136,191,166
75,Roshanara Road,0,3,0,10,9,4,0,0,0,10,12,4
76,Shanti Path,0,0,0,0,0,5,0,0,0,0,2,5
77,Station Road,3,1,1,6,7,6,1,1,0,10,9,7
78,Todapur Road (Dps Marg),8,4,8,8,14,9,0,0,0,16,18,17
79,Vikas Marg,5,9,10,30,33,45,1,0,0,36,42,55
80,Viveka Nand Marg,0,0,1,1,2,0,0,0,4,1,2,5
81,Wazirabad Road,21,25,23,80,78,73,0,2,0,101,105,96
82,Yamuna Pusta Road,8,12,6,15,18,9,0,0,0,23,30,16
83,Road No 13A,6,6,8,17,12,23,0,0,2,23,18,33
84,B.K.S Marg,6,3,2,6,10,4,0,0,0,12,13,6
85,Bawana Auchandi Road,5,,,,,,,,,,,
86,Bijwasan Road,9,7,8,12,13,13,0,0,0,21,20,21
87,Burari Road,5,6,4,17,9,19,0,1,0,22,16,23
88,Chhawla Road,0,1,2,3,3,2,0,0,0,3,4,4
89,DDU Marg,1,1,2,2,5,5,0,0,0,3,6,7
90,Jai Singh Road,0,0,0,1,0,0,0,0,0,1,0,0
91,Jail Road,3,1,0,7,7,1,0,0,0,10,8,1
92,Jaitpur Road,2,4,0,9,0,3,0,0,0,11,4,3
93,Janpath,2,2,0,4,5,1,0,0,0,6,7,1
94,Kotla Road,3,4,9,4,2,0,0,0,0,12,8,2
95,Lodi Road,0,0,3,6,2,2,0,1,0,6,3,5
96,Maharaja Sur.Road,0,0,0,1,3,0,0,0,0,1,3,0
97,Pusa Road,1,2,0,12,6,10,0,0,0,13,8,10
98,Pusta Road,7,10,28,29,53,71,0,1,0,36,65,99
99,Qutab Garh Road,0,2,0,4,2,1,0,0,0,4,4,1
100,Ramdev Marg,1,0,0,0,2,0,0,0,0,1,2,0
101,Ridge Road,3,2,1,3,2,7,0,1,0,6,5,8
102,Sardar Patel Marg,3,5,0,4,5,8,0,0,0,7,10,8
103,S.P.M Marg,4,4,5,0,1,6,0,0,0,0,5,11
