District_Name,Num_Prone_Zones,Simple_Crashes,Fatal_Crashes,Total_Crashes
Central District,,,,
Dwarka District,2,11,5,16
East District,8,43,25,68
New Delhi District,1,10,0,10
North District,12,86,48,134
North East District,7,69,24,93
North West District,13,83,57,140
Outer District,9,57,31,88
Outer North District,11,61,44,105
Rohini District,1,3,3,6
Shahdara District,,,,
South District,1,7,3,10
South East District,9,63,27,90
South West District,9,66,21,87
West District,18,111,59,170
