S_No,Zone_Name,Simple_2022,Simple_2021,Fatal_2022,Fatal_2021,Total_2022,Total_2021,Fatal_2023,Fatal_2022,Total_2023,Total_2022
1,Mukarba Chowk,11,11,12,7,23,18,12,17,14,7
2,Khampur Village,9,7,10,1,19,8,10,5,12,1
3,Dhaula Kuan,9,10,8,2,17,12,8,11,13,2
4,Mayapuri Chowk,8,9,8,3,16,12,8,8,14,3
5,Gandhi Vihar Bus Stand,18,11,7,5,25,16,7,13,23,5
6,Bhalswa Chowk,14,5,7,6,21,11,7,5,17,6
7,Peera Garhi Chowk,9,13,7,3,16,16,7,15,14,3
8,Punjabi Bagh Chowk,8,9,7,4,15,13,7,13,17,4
9,Britannia Chowk,7,9,7,6,14,15,7,10,9,6
10,Ashram Chowk,7,12,7,2,14,14,7,12,9,2
